drug1_db,drug2_db,Drug12,gene1,gene2,gene12
DB04149,DB08877,0,"['PDE4D', 'PDE4B', 'NOS2']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB02932,DB08877,1,['AR'],"['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB01073,DB00188,2,"['RRM1', 'POLA1', 'DCK']","['PSMB1', 'PSMD2', 'PSMB5', 'PSMD1', 'PSMB2']",[]
DB01073,DB00822,3,"['RRM1', 'POLA1', 'DCK']","['TRPA1', 'ALDH2', 'MGLL', 'DBH']",[]
DB01073,DB03496,4,"['RRM1', 'POLA1', 'DCK']","['FLT3', 'CDK16', 'PRKCD', 'EIF2AK1', 'JAK3', 'CDK15', 'PTK2B', 'CILK1', 'MKNK2', 'CLK3', 'JAK2', 'PRKCE', 'IRAK4', 'LRRK2', 'GRK7', 'EPHB1', 'PRKAA1', 'CLK2', 'STK17A', 'FRK', 'PYGM', 'CDK9', 'EPHA1', 'CAMKK1', 'STK17B', 'PIP4K2C', 'STK35', 'MINK1', 'HIPK4', 'EGFR', 'MAP3K3', 'PIM1', 'RPS6KA1', 'HIPK2', 'CDK7', 'RPS6KB1', 'TBK1', 'ROCK2', 'EPHA5', 'ROCK1', 'PLK4', 'PRKCA', 'ULK2', 'ABL1', 'HIPK3', 'BMPR1B', 'ACVR2A', 'MAP3K7', 'KIT', 'CLK1', 'RPS6KA6', 'PIP5K1C', 'CDK5', 'MAP2K3', 'CAMKK2', 'CSNK1G1', 'TAOK3', 'ERBB3', 'CDK4', 'TAOK1', 'HIPK1', 'MAK', 'VRK2', 'DYRK1A', 'CDK8', 'CDK2', 'MAP4K2', 'CAMK2G', 'TYK2', 'DSTYK', 'GRK1', 'RPS6KA5', 'RPS6KA3', 'CDK13', 'CDK1', 'PIM2', 'CDK6', 'GAK', 'CSNK1A1L', 'MAP2K5', 'ACVRL1', 'PHKG2', 'CAMK2A', 'TAOK2', 'CDKL5', 'MAPK8', 'MAP2K4', 'CSNK1A1', 'PDGFRA', 'RPS6KA2', 'MAP3K2', 'CAMK2D', 'CAMK2B', 'IRAK1', 'ERBB4']",[]
DB01073,DB08877,5,"['RRM1', 'POLA1', 'DCK']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB01073,DB00541,6,"['RRM1', 'POLA1', 'DCK']","['TUBA4A', 'TUBB']",[]
DB02740,DB08877,7,"['TRBC1', 'TRAC', 'HLA-A', 'B2M']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB08356,DB08877,8,"['PDK4', 'HSP90AA1', 'HSP90AB1']","['EPHA3', 'GRK4', 'RIOK3', 'DAPK1', 'SBK1', 'MYLK', 'OXSR1', 'PAK5', 'JAK3', 'EPHB6', 'AURKC', 'MKNK2', 'JAK2', 'PRKCE', 'LRRK2', 'GRK7', 'IKBKB', 'CLK2', 'STK17A', 'MELK', 'BMPR2', 'CLK4', 'MAP3K15', 'BMP2K', 'NUAK2', 'DCLK2', 'MARK2', 'STK17B', 'DMPK', 'PLK3', 'PLK1', 'NEK3', 'MAP2K2', 'DYRK2', 'MAP3K3', 'RPS6KA1', 'HIPK2', 'CDK7', 'CAMK1D', 'IKBKE', 'TBK1', 'ALK', 'ROCK2', 'PI4KB', 'ULK3', 'RIOK2', 'CAMK1G', 'PLK4', 'STK25', 'STK16', 'ROCK1', 'ULK2', 'RIOK1', 'ABL1', 'PLK2', 'TTK', 'STK26', 'HIPK3', 'BMPR1B', 'AAK1', 'MAP3K7', 'KIT', 'RPS6KA4', 'BRAF', 'CAMK1', 'RPS6KA6', 'DCLK3', 'NTRK2', 'MAP2K3', 'PHKG1', 'DCLK1', 'TAOK3', 'DAPK3', 'PAK6', 'MAP2K1', 'TAOK1', 'ULK1', 'CSNK2A2', 'HIPK1', 'MAP3K1', 'NEK7', 'VRK2', 'MAP3K19', 'ERN1', 'CSNK2A1', 'TNK2', 'DYRK1A', 'MAP4K2', 'CAMK2G', 'TYK2', 'GRK1', 'RPS6KA5', 'SIK3', 'DAPK2', 'PAK4', 'CASK', 'RIPK4', 'GAK', 'STK39', 'LTK', 'PHKG2', 'NTRK1', 'RET', 'CAMK2A', 'NTRK3', 'SRPK3', 'TAOK2', 'PRKG2', 'MAPK8', 'MAST1', 'MAP2K4', 'CSNK1A1', 'RPS6KA2', 'MAP3K2', 'SRPK1', 'CAMK2D', 'JAK1', 'CAMK2B', 'IRAK1']",[]
DB00544,DB00437,9,['TYMS'],['XDH'],[]
