drug,protein,Genesym
DB01110,4843,NOS2
DB01234,4843,NOS2
DB08814,4843,NOS2
DB00661,8911,CACNA1I
DB00909,8911,CACNA1I
DB04841,8911,CACNA1I
DB00201,134,ADORA1
DB00277,134,ADORA1
DB00640,134,ADORA1
DB00651,134,ADORA1
DB00996,134,ADORA1
DB01223,134,ADORA1
DB01412,134,ADORA1
DB00619,25,ABL1
DB01254,25,ABL1
DB04868,25,ABL1
DB00244,5742,PTGS1
DB00316,5742,PTGS1
DB00328,5742,PTGS1
DB00350,5742,PTGS1
DB00461,5742,PTGS1
DB00465,5742,PTGS1
DB00469,5742,PTGS1
DB00500,5742,PTGS1
DB00554,5742,PTGS1
DB00586,5742,PTGS1
DB00605,5742,PTGS1
DB00712,5742,PTGS1
DB00749,5742,PTGS1
DB00784,5742,PTGS1
DB00788,5742,PTGS1
DB00795,5742,PTGS1
DB00812,5742,PTGS1
DB00814,5742,PTGS1
DB00821,5742,PTGS1
DB00870,5742,PTGS1
DB00945,5742,PTGS1
DB00963,5742,PTGS1
DB00991,5742,PTGS1
DB01009,5742,PTGS1
DB01014,5742,PTGS1
DB01050,5742,PTGS1
DB01283,5742,PTGS1
DB01399,5742,PTGS1
DB01435,5742,PTGS1
DB02266,5742,PTGS1
DB02709,5742,PTGS1
DB04552,5742,PTGS1
DB06725,5742,PTGS1
DB06802,5742,PTGS1
DB08814,5742,PTGS1
DB00246,1812,DRD1
DB00268,1812,DRD1
DB00334,1812,DRD1
DB00363,1812,DRD1
DB00408,1812,DRD1
DB00413,1812,DRD1
DB00477,1812,DRD1
DB00502,1812,DRD1
DB00543,1812,DRD1
DB00623,1812,DRD1
DB00679,1812,DRD1
DB00734,1812,DRD1
DB00800,1812,DRD1
DB00988,1812,DRD1
DB01186,1812,DRD1
DB01224,1812,DRD1
DB01235,1812,DRD1
DB01238,1812,DRD1
DB01239,1812,DRD1
DB01099,7298,TYMS
DB00398,2324,FLT4
DB01268,2324,FLT4
DB00384,6338,SCNN1B
DB00594,6338,SCNN1B
DB01229,81027,TUBB1
DB01248,81027,TUBB1
DB01394,81027,TUBB1
DB03010,81027,TUBB1
DB06772,81027,TUBB1
DB01268,2321,FLT1
DB00398,5894,RAF1
DB00165,8566,PDXK
DB00559,1910,EDNRB
DB06268,1910,EDNRB
DB00246,1131,CHRM3
DB00321,1131,CHRM3
DB00332,1131,CHRM3
DB00334,1131,CHRM3
DB00342,1131,CHRM3
DB00363,1131,CHRM3
DB00387,1131,CHRM3
DB00424,1131,CHRM3
DB00434,1131,CHRM3
DB00458,1131,CHRM3
DB00462,1131,CHRM3
DB00496,1131,CHRM3
DB00517,1131,CHRM3
DB00572,1131,CHRM3
DB00622,1131,CHRM3
DB00715,1131,CHRM3
DB00747,1131,CHRM3
DB00809,1131,CHRM3
DB00934,1131,CHRM3
DB01036,1131,CHRM3
DB01062,1131,CHRM3
DB01085,1131,CHRM3
DB01224,1131,CHRM3
DB01238,1131,CHRM3
DB01239,1131,CHRM3
DB01337,1131,CHRM3
DB01409,1131,CHRM3
DB01591,1131,CHRM3
DB04843,1131,CHRM3
DB06702,1131,CHRM3
DB00170,2147,F2
DB00278,2147,F2
DB04786,2147,F2
DB04898,2147,F2
DB06695,2147,F2
DB00145,2743,GLRB
DB01108,3284,HSD3B2
DB00126,5033,P4HA1
DB01275,5033,P4HA1
DB06155,1268,CNR1
DB00177,185,AGTR1
DB00275,185,AGTR1
DB00796,185,AGTR1
DB00876,185,AGTR1
DB00966,185,AGTR1
DB01029,185,AGTR1
DB00297,5731,PTGER1
DB00770,5731,PTGER1
DB00905,5731,PTGER1
DB00917,5731,PTGER1
DB00795,38,ACAT1
DB00636,5465,PPARA
DB01039,5465,PPARA
DB01241,5465,PPARA
DB01393,5465,PPARA
DB00121,64087,MCCC2
DB00755,190,NR0B1
DB01234,190,NR0B1
DB00993,3251,HPRT1
DB01033,3251,HPRT1
DB00210,6257,RXRB
DB00307,6257,RXRB
DB00459,6257,RXRB
DB00755,6257,RXRB
DB00799,6257,RXRB
DB01941,6257,RXRB
DB00904,3360,HTR4
DB01079,3360,HTR4
DB00126,5351,PLOD1
DB00204,3757,KCNH2
DB00308,3757,KCNH2
DB00342,3757,KCNH2
DB00457,3757,KCNH2
DB00489,3757,KCNH2
DB00590,3757,KCNH2
DB00661,3757,KCNH2
DB00679,3757,KCNH2
DB00908,3757,KCNH2
DB01110,3757,KCNH2
DB01118,3757,KCNH2
DB01136,3757,KCNH2
DB01162,3757,KCNH2
DB01182,3757,KCNH2
DB01218,3757,KCNH2
DB00762,116447,TOP1MT
DB01030,116447,TOP1MT
DB00245,1128,CHRM1
DB00246,1128,CHRM1
DB00321,1128,CHRM1
DB00332,1128,CHRM1
DB00334,1128,CHRM1
DB00363,1128,CHRM1
DB00366,1128,CHRM1
DB00387,1128,CHRM1
DB00424,1128,CHRM1
DB00434,1128,CHRM1
DB00458,1128,CHRM1
DB00462,1128,CHRM1
DB00496,1128,CHRM1
DB00517,1128,CHRM1
DB00543,1128,CHRM1
DB00572,1128,CHRM1
DB00622,1128,CHRM1
DB00715,1128,CHRM1
DB00747,1128,CHRM1
DB00804,1128,CHRM1
DB00809,1128,CHRM1
DB00810,1128,CHRM1
DB00934,1128,CHRM1
DB01036,1128,CHRM1
DB01062,1128,CHRM1
DB01085,1128,CHRM1
DB01148,1128,CHRM1
DB01175,1128,CHRM1
DB01224,1128,CHRM1
DB01238,1128,CHRM1
DB01239,1128,CHRM1
DB01409,1128,CHRM1
DB01591,1128,CHRM1
DB04365,1128,CHRM1
DB04843,1128,CHRM1
DB06702,1128,CHRM1
DB03754,262,AMD1
DB00145,64902,AGXT2
DB00973,6646,SOAT1
DB01094,6646,SOAT1
DB00208,64805,P2RY12
DB06209,64805,P2RY12
DB08816,64805,P2RY12
DB00501,3274,HRH2
DB00585,3274,HRH2
DB00751,3274,HRH2
DB00863,3274,HRH2
DB00927,3274,HRH2
DB00987,5423,POLB
DB00173,353,APRT
DB00812,5740,PTGIS
DB01016,19,ABCA1
DB01599,19,ABCA1
DB00255,2099,ESR1
DB00367,2099,ESR1
DB00396,2099,ESR1
DB00481,2099,ESR1
